"Word","Example","Translation"
"anéantir","Un petit mouton peut anéantir la fleur d'un seul coup","to destroy";
"arbustes","Un mouton mange les arbustes","shrubs";
"armure","Je te dessinerai une armure pour ta fleur","armor";
"atteindre","Je ne savais pas comment l'atteindre","to reach";
"bercer","Je le pris dans les bras je le berçai","to rock";
"boulon","Je suis occupé à essayer de dévisser un boulon trop serré","bolt";
"brusquerie","Il me demanda avec brusquerie sans préambule","abruptness";
"champignon","Mais ce n'est pas un homme c'est un champignon!","mushroom";
"consoler","Je le pris dans les bras je le berçai je le consolai","to console";
"un exemplaire","Une fleur unique au monde qui n'existe qu'à un exemplaire","a/one copy";
"gonfler","Il se fait gonfler d'orgueil","to swell";
"irrité","J'étais irrité par mon boulon","irritated";
"le pire","undefined","the worst";
"maladroit","Je me sentais très maladroit","awkward";
"marteau","Je ferai sauter le boulon d'un coup de marteau","hammer";
"muselière","Je lui dessinerai une muselière à ton mouton","muzzle";
"orgueil","Il se fait gonfler d'orgueil","pride";
"panne","Ma panne commençait à m'apparaître comme très grave","breakdown";
"préambule","Il me demanda avec brusquerie sans préambule","preamble/prelude";
"pâle","Le petit prince était maintenant tout pâle de colère","pale";
"rancune","Avec une sorte de rancune il me lança","resentment";
"rassurer","Elles se rassurent comme elles peuvent","to reassure";
"renoncer","Le petit prince ne renonçait jamais à une question","to give up";
"révéler","Le secret de la vie du petit prince me fut révélé","to reveal";
"s'éteindre","Toutes les étoiles s'éteindraient si le mouton mange la fleur","extinguish";
"soucieux","J'étais très soucieux car ma panne commençait à m'apparaître comme très grave","worried";
"stupéfiant","Il me regarda stupéfait","astonished";
"épuiser","L'eau à boire qui s'épuisait me faisait craindre le pire","to deplete";
"epine","Fais attention la tige de la rose a des épines.","thorn";
"dévisser","Le couvercle est trop serré je ne peux pas l'ouvrir.  ","to unscrew";
"serré","Le couvercle est trop serré je ne peux pas l'ouvrir.  ","tight";
"m'apparaître","Cette idée m'apparaît comme une solution possible.  ","appear to me";
"laid","Cette maison est un peu trop laide à mon goût.  ","ugly";
"impitoyable","Le juge était impitoyable dans sa décision.  ","ruthless";
"confondre","Les jumeaux se ressemblent tellement qu'on les confond souvent.  ","to confuse";
"secouer","Elle secoua le sac pour vérifier s'il y avait quelque chose à l'intérieur.  ","to shake";
"reprendre","Je vais reprendre mon travail après la pause.  ","to resume";
"comme si","Elle m'a regardé comme si elle ne me connaissait pas.  ","as if";
"sangloter","Elle a commencé à sangloter en entendant l'histoire triste.  ","to sob";
"lâcher","Laisse-moi lâcher mon sac il est trop lourd.  ","to let go";
