"Word","Example","Translation"
"apparition","Je regardai cette apparition avec étonnement.","sudden appearance"
"avoir hâte","Il a terminé son travail avec hâte pour partir plus tôt.","to be eager/to hurry"
"doucement","Il parle doucement pour ne pas déranger.","gently/slowly"
"démonter","J'avais hâte de commencer le démontage de mon moteur.","to dismantle"
"désobéir","Quand le mystère est trop impressionnant on n'ose pas désobéir.","to disobey"
"encombrant","Un éléphant c'est très encombrant.","cumbersome"
"faillir","Il a failli tomber dans les escaliers.","to fail/to almost do something"
"faute de","Faute de patience je griffonnai ce dessin.","for lack of"
"foudre","J'ai sauté sur mes pieds comme frappé par la foudre.","lightning"
"frotter","Il faut frotter la surface pour la nettoyer.","to rub"
"griffer","Je griffonnai ce dessin-ci.","to scratch"
"habité","À mille milles de toute région habitée.","inhabited"
"impressionnant","Quand le mystère est trop impressionnant.","impressive"
"isolé","J'étais bien plus isolé qu'un naufragé.","isolated"
"juge","Le visage de mon jeune juge s'illumina.","judge"
"mauvaise humeur","Je lui dis avec un peu de mauvaise humeur.","bad mood"
"moteur","Quelque chose s'était cassé dans mon moteur.","engine"
"naufragé","Qu'un naufragé sur un radeau au milieu de l'océan.","castaway"
"or","Or, il n'avait rien préparé pour le voyage.","however"
"oser","Quand le mystère est trop impressionnant on n'ose pas désobéir.","to dare"
"pencher","Il pencha la tête vers le dessin.","to tilt"
"radeau","Un naufragé sur un radeau au milieu de l'océan.","raft"
"ravissant","Mon dessin est moins ravissant que le modèle.","lovely"
"refaire","Je vais refaire le dessin pour qu'il soit meilleur.","to redo"
"réparation","Je me préparai à essayer une réparation difficile.","repair"
"stupéfait","Je fus stupéfait d'entendre le petit bonhomme.","astonished"
"stylographe","Je sortis de ma poche une feuille et un stylographe.","fountain pen"
"un bélier","Un bélier vit souvent dans les montagnes.","a ram"
"véritablement","Il n'avait personne avec qui parler véritablement.","truly"
"étonnement","Avec des yeux tout ronds d'étonnement.","astonishment"
