"Word","Example","Translation"
"perçut","Il perçoit la situation différemment.","perceive"
"bêtes","Les bêtes mangent dans le champ.","beasts/animals"
"soigneusement","Il prépare soigneusement le dîner.","carefully"
"ennuis","Il a toujours des ennuis à l'école.","trouble"
"commode","Ce meuble est très commode.","convenient"
"arracha","Il arrache les mauvaises herbes du jardin.","pull"
"profita","Il profite de chaque instant.","enjoy"
"évasion","L'évasion est une idée qui le fascine.","escape"
"ramoner","Elle ramone les cheminées tous les mois.","to sweep"
"possédait","Elle possède une grande maison.","own"
"éteint","Le volcan est éteint depuis des années.","dormant"
"chaudière","Il chauffe l'eau dans la chaudière.","boiler"
"pousses","Il coupe les pousses de la plante.","shoots"
"pleurer","Elle pleure souvent quand elle est triste.","to cry"
"toussa","Elle tousse beaucoup ce matin.","cough"
"tâche","Il tâche de finir son travail rapidement.","try"
"étonné","Je suis étonné par sa réponse.","surprised"
"douceur","Il apprécie la douceur du matin.","softness"
"sot","Tu fais un sot travail.","foolish"
"parurent","Ils paraissent très heureux.","appear"
"arrosa","Il arrose les plantes chaque matin.","water"
"rhume","Elle a un rhume léger.","cold"
"restait","Il reste à la maison toute la journée.","stay"
"déconcentré","Il est déconcentré par le bruit.","distracted"
"chenilles","Les chenilles se transforment en papillons.","caterpillars"
"Quant","Quant à moi je vais à la bibliothèque.","as for"
"agaçant","Ce bruit est vraiment agaçant.","annoying"
"Va-t'en","Va-t'en maintenant s'il te plaît.","go away"
