"Word","Example","Translation"
"étonner","Il m'a étonné avec son geste.","to surprise"
"apercevoir","J'ai aperçu un oiseau dans le ciel.","to notice"
"habit","Elle porte un habit élégant pour la soirée.","outfit"
"colombes","Les colombes volaient dans le ciel.","doves"
"preuve","Il a montré une preuve de sa réussite.","proof"
"hausser","Elle a haussé les épaules en signe d'indifférence.","to raise"
"traiter","Ils ont traité cette question sérieusement.","to treat"
"à la légère","Il ne faut pas prendre ce sujet à la légère.","lightly"
"éprouver","Il éprouve de la joie chaque jour.","to feel"
"chagrin","Elle a ressenti un grand chagrin après la perte de son chat.","sorrow"
"souvenirs","Les souvenirs de vacances sont toujours précieux.","memories"
"s'en est allé","Il s'en est allé sans dire au revoir.","has gone away"
"décrire","Elle a décrit son voyage en détail.","to describe"
"oublier","Je ne veux pas oublier notre rendez-vous.","to forget"
"tenter","Il a tenté de résoudre le problème seul.","to try"
"taille","La taille de ce livre est assez grande.","size"
"hésiter","Je n'hésiterai pas à t'aider si tu en as besoin.","to hesitate"
"tâtonner","Il a tâtonné dans l'obscurité pour trouver la porte.","to grope"
"se tromper","Je me suis trompé de chemin.","to make a mistake"
"semblable","Ils ont des goûts semblables en musique.","similar"
"caisses","Les caisses sont empilées dans le coin de la pièce.","boxes"
"vieillir","Le vin devient meilleur avec l'âge il vieillit bien.","to age"
