"Word","Example","Translation"
"apercevoir","J'aperçois un oiseau dans le ciel","to notice"
"apprendre","Il veut apprendre à nager","to teach/learn"
"attacher","Je vais attacher le chien à l'arbre","to tie"
"dessiner","Elle aime dessiner des paysages","to draw"
"falloir","Il faut étudier pour réussir","to take/be necessary"
"s'enfoncer","Le navire commence à s'enfoncer dans l'eau","to sink (into)"
"sembler","Il semble fatigué","to seem"
"éclat","Son éclat de colère était inattendu","burst"
"entrevoir","J'entrevois un avenir meilleur","to glimpse"
"lueur","La lueur des bougies crée une ambiance chaleureuse","glow"
"rêverie","Elle était perdue dans une rêverie en regardant par la fenêtre","daydream"
"trésor","Ce coffre contient un véritable trésor","treasure"
"s'efforcer","Il s'efforce de comprendre les explications","to strive"
