"Word","Example","Translation"
"arracher","Il faut arracher les baobabs avant qu'ils deviennent trop grands.","to uproot"
"astreindre","Il faut s'astreindre à faire son travail tous les jours.","to force oneself"
"avertir","J'ai voulu avertir mes amis du danger des baobabs.","to warn"
"départ","Le départ du petit prince était soudain et inattendu.","departure"
"ennuyeux","C'est un travail très ennuyeux mais nécessaire.","boring"
"frôler","Il frôlait le danger sans le savoir.","to brush against"
"interroger","Il m'interrogea sur le sens de cette aventure.","to question"
"mouton","Le petit prince posait des questions sur les moutons.","sheep"
"perforer","Les racines des baobabs perforent la planète.","to penetrate"
"reconnaître","Il faut savoir reconnaître les mauvaises herbes.","to recognize"
"remarquer","Il fit remarquer que les baobabs étaient dangereux.","to notice/remark"
"remettre","Il est parfois sans inconvénient de remettre son travail.","to postpone"
"troupeau","Un troupeau d'éléphants serait trop lourd pour cette planète.","herd"
"égarer","Celui qui s'égarerait dans un astéroïde courrait de grands risques.","to get lost"
"évidence","C'était une évidence pour lui qu'il fallait agir.","obvious"
"sagesse","La sagesse vient avec l'âge.","wisdom"
"s'étire","Il s'étire avant de commencer sa course.","to stretch"
"pousse","Il pousse la porte pour entrer.","to push"
"ravissante","Elle portait une robe ravissante pour le bal.","lovely"
"brindille","Il a cassé une brindille en marchant dans la forêt.","twig"
"débarrasser","Je vais me débarrasser de ces vieux livres.","to rid"
"encombre","La chambre est encombrée de boîtes.","to clutter"
"soigneusement","Elle a soigneusement rangé ses affaires.","thoroughly"
"auxquels","Voici les objets auxquels je pensais.","to which"
"paresseux","Ce chat est paresseux il dort toute la journée.","lazy"
"en valait la peine","Tout ce travail en valait la peine pour la récompense.","was worth the pain"
