"Word","Example","Translation"
"vierge","Cette forêt est encore vierge, sans traces humaines.","virgin"
"boa","Le boa est un serpent qui peut avaler de grandes proies.","kind of snake"
"avaler","Il ne faut pas avaler trop vite pour éviter de s'étouffer.","to swallow"
"un fauve","Le lion est considéré comme un fauve majestueux.","a wild animal"
"mâcher","N'oublie pas de bien mâcher tes aliments avant d'avaler.","to chew"
"bouger","Pendant le film, il est resté immobile sans bouger.","to move"
"tracer","Avec une règle, il a commencé à tracer une ligne droite.","to trace"
"chef-d'œuvre","La Joconde est un chef-d'œuvre célèbre dans le monde entier.","masterpiece"
"digérer","Après un grand repas, il faut du temps pour digérer.","to digest"
"laisser de côté","J’ai dû laisser de côté ce projet pour finir le rapport urgent.","to leave aside"
"plutôt","Je préfère aller au parc plutôt que de rester à la maison.","instead"
"égarer","En marchant dans la forêt, il a fini par s’égarer.","to stray"
"porter à sa portée","Il essaie toujours de porter ses idées à sa portée pour qu'elles soient compréhensibles.","to simplify"
"tas de","Il y a un tas de livres sur cette table.","loads of"
"Histoires vécues","Le livre s'appelait Histoires vécues.","true stories"
