"Word","Example","Translation"
"réfléchir","Il aime réfléchir avant de prendre une décision","to think/reflect"
"demander","Peux-tu demander l’heure à la personne à côté ?","to ask"
"raconter","Grand-mère raconte toujours des histoires intéressantes","to tell"
"construire","Ils construisent une maison en pierre","to build"
"expliquer","Le professeur explique le problème clairement","to explain"
"répondre","Il a répondu à toutes mes questions","to answer"
"découvrir","Ils ont découvert un trésor caché","to discover"
"protéger","Nous devons protéger la nature","to protect"
"observer","Elle observe les oiseaux dans le parc","to observe"
"s’échapper","Le chat a réussi à s’échapper de la cage","to escape"
"admirer","J’admire son courage face aux difficultés","to admire"
"éclairer","La lune éclaire la nuit","to illuminate"
"attendre","Nous attendons le bus depuis une heure","to wait"
"penser","Je pense que ce film est très intéressant","to think"
"oublier","N’oublie pas ton parapluie, il va pleuvoir","to forget"
